edge_id,t,cpu
0,0,73.695958213946
0,1,65.80749481743521
0,1,64.57858355341786
0,5,101.95253268066095
0,6,117.0728909182898
0,7,119.33605808151488
0,7,91.83784517736294
0,8,64.41525052186418
0,9,118.23654370750542
0,11,53.03472498836697
0,14,117.27061942375752
0,16,110.19994531472605
0,16,57.18911839529598
0,17,81.24280267095412
0,19,65.48937287605632
0,23,80.85443567824748
0,26,100.12095486529904
0,27,82.06968540468978
0,27,58.21026200578304
0,29,97.56179008349434
0,31,99.82051142090663
0,32,85.93645882987869
0,34,69.441600398798
0,34,78.37464238155216
0,34,87.8727403018023
0,35,67.98474055359073
0,37,54.888586717669874
0,37,110.93208916375708
0,38,93.33661095355214
0,39,81.71877848325235
0,40,60.106284858804976
0,42,115.65919694054394
0,43,66.28936462573866
0,44,106.17804982835897
0,45,113.73865755751176
0,53,111.87198242674079
0,53,85.07826821317605
0,55,70.2746235126287
0,58,68.24678769673255
0,60,115.19066591691391
0,61,58.44261763463414
0,61,114.50526089646058
0,61,50.68515220943437
0,63,78.73703797627012
0,63,91.64579572957959
0,63,78.74817201730403
0,65,72.50709317598289
0,66,101.01943135552278
0,67,97.51920148353884
0,68,86.32816991610713
0,71,110.0436965006486
0,71,88.08023266288646
0,72,105.82029751576322
0,73,69.34375053074474
0,77,56.890090829253815
0,77,86.03973019227847
0,80,71.50784867901677
0,80,77.99962177666498
0,84,59.23337752788113
0,87,68.66183037812921
0,87,91.08618954394163
0,88,52.74286474078756
0,89,56.62021403458214
0,91,85.93815297279349
0,93,66.68699845074278
0,97,68.12423325519677
0,100,60.79056626501785
0,101,116.69226206947769
0,101,88.34253214054334
0,101,105.13818815756943
0,103,64.5954233698151
0,103,77.3908835188148
0,103,106.15702525928938
0,106,64.1370232069983
0,106,89.11500788407271
0,107,79.98767442479611
0,108,70.18243642920929
0,109,81.28566261555618
0,110,80.63858267572982
0,111,80.81196704844811
0,115,84.67347428576096
0,117,57.4406402349749
0,118,99.28581251304408
0,120,67.85814552478307
0,122,62.00031988247318
0,122,92.51161200448928
0,123,90.56775404456079
0,125,60.88578699308069
0,130,102.90371806645047
0,131,80.9707432425167
0,135,98.62704759353372
0,137,78.41305735314998
0,144,113.39757447638866
0,146,107.15885168283614
0,147,105.82760824073137
0,148,82.71186647085476
0,148,99.4471344190899
0,150,59.086389106611556
0,153,105.57722421355453
0,153,71.57358655616173
0,159,75.3134219809406
0,159,114.29051913669832
0,160,111.76037272659366
0,162,107.68695027434549
0,164,96.0445024903178
0,165,111.39115931323698
0,167,114.88444846211229
0,171,103.34982481913276
0,172,113.33964712600906
0,176,85.34137610049197
0,177,110.98375060528852
0,179,107.40404529822649
0,181,73.94623288404742
0,181,71.17666746927814
0,181,70.1564558742846
0,183,92.63412413359038
0,184,95.47765865617689
0,187,63.42585060758967
0,188,90.16731320236227
0,192,86.96364962048585
0,194,77.8354900826109
0,198,114.63024877654006
1,1,95.84864858272218
1,1,81.47607571099196
1,1,69.34811594353604
1,1,51.391291710324495
1,1,88.18518384707775
1,2,99.77777938354022
1,2,63.66071423974046
1,3,56.70947436381243
1,3,56.619268268722756
1,3,61.15788384707016
1,4,55.58872519452802
1,4,55.23941953398942
1,7,98.98557594873716
1,7,107.13892782020429
1,8,84.00763570059105
1,8,108.93253002004708
1,9,75.94994945519974
1,9,100.65047481488045
1,9,116.37536132465229
1,9,89.00094937341655
1,10,68.29428392290352
1,12,103.85314121772444
1,12,53.00271366717533
1,12,55.2347613588497
1,13,101.40771133192109
1,13,108.64034701947638
1,14,119.47138242095865
1,17,59.399457680338834
1,19,116.71029086468043
1,20,97.58538408899378
1,20,116.58853592886081
1,21,74.50826556227875
1,22,93.52251378514747
1,23,107.32839924437046
1,24,110.43143168845636
1,25,88.7950300723218
1,26,50.64777441518744
1,27,107.25126100295893
1,27,95.59682198092102
