t,user,final_status,edge_id,delay
19,25,edge,9,37.16090407112114
19,41,edge,4,49.779756217597985
19,5,edge,18,81.04580693232882
20,48,edge,13,28.8528745559219
20,37,edge,14,90.26051899370262
20,79,edge,6,224.10319013695536
20,32,edge,18,72.98691103036067
20,9,edge,18,38.82560871796626
20,67,edge,4,37.333137107999875
20,42,edge,9,45.42022448074438
20,13,edge,19,51.07117344129172
20,76,edge,8,97.07729917688307
20,50,edge,18,36.96649284484588
20,54,edge,7,30.933132478044897
20,47,edge,19,54.16699931121482
20,15,edge,6,62.033325633628756
20,9,edge,18,18.95597253034711
20,42,edge,9,134.87137459175028
20,23,edge,6,47.368934669023304
20,21,edge,7,40.921231350633555
20,18,edge,18,19.076093811594877
20,59,edge,2,90.17542720063989
20,51,edge,8,52.65322992141523
20,74,edge,6,52.294728986319086
20,46,edge,11,82.8853015053422
20,45,edge,8,65.39385338219911
20,39,edge,0,22.711751846599856
20,68,edge,17,72.89839497614389
21,24,edge,5,54.05965845329103
21,21,edge,19,63.23695974662259
21,53,edge,9,63.841193624414466
21,35,edge,4,31.635844828844007
21,36,edge,2,38.660124489149446
21,62,edge,8,37.55836459038459
21,62,edge,8,44.45526647635532
21,30,edge,3,154.95727489355588
21,75,edge,7,82.1896332859214
21,25,edge,9,72.63498382362879
21,67,edge,10,126.95681963115693
21,21,edge,19,85.2852433455828
21,8,edge,6,43.554714615040325
21,71,edge,15,167.42225792952786
21,57,edge,8,62.149333073953535
21,14,edge,7,59.75625158849456
21,25,edge,8,49.656467849793
21,46,edge,11,41.775776641831335
21,35,edge,4,33.00788306936237
21,39,edge,8,85.45254313334152
21,38,edge,13,40.40922794891526
21,35,edge,4,43.70620232904702
21,56,edge,17,142.8989293455176
22,78,edge,5,107.68882655228845
22,3,edge,11,26.22636212616369
22,27,edge,9,69.2958105949535
22,41,edge,4,44.355635904537834
22,8,edge,6,65.83355264088392
22,4,edge,2,15.049784994048279
22,77,edge,2,25.17030516686987
22,20,edge,17,13.207396514554544
22,42,edge,9,62.011654856049326
22,15,edge,6,42.93209259542124
22,22,edge,17,52.13678483136095
22,78,edge,2,193.41217000618303
22,71,edge,15,107.06669988927213
22,24,edge,7,26.862337540630563
22,37,edge,2,194.47670462798584
22,20,edge,11,63.789440073792484
22,19,edge,0,64.3166766122398
22,33,edge,15,56.16988125008432
22,65,edge,8,55.944749770331626
23,13,edge,19,39.21910855710906
23,63,edge,16,128.60561030676675
23,6,edge,6,87.30907058951655
23,3,edge,11,56.62301573054689
23,16,edge,19,41.56172798878285
23,8,edge,6,28.67986800290483
23,2,edge,8,61.014532493590025
23,4,edge,14,48.04194402004707
23,13,edge,19,57.88329892655438
23,70,edge,18,96.73332859294071
